X: (s),Y: (Hits)
1.17789e-05,0
1.17801e-05,0
1.17814e-05,0
1.17827e-05,0
1.17839e-05,0
1.17852e-05,0
1.17865e-05,0
1.17877e-05,0
1.1789e-05,0
1.17902e-05,0
1.17915e-05,0
1.17928e-05,0
1.1794e-05,0
1.17953e-05,0
1.17966e-05,0
1.17978e-05,0
1.17991e-05,0
1.18004e-05,0
1.18016e-05,0
1.18029e-05,0
1.18042e-05,0
1.18054e-05,0
1.18067e-05,0
1.18079e-05,0
1.18092e-05,0
1.18105e-05,0
1.18117e-05,0
1.1813e-05,0
1.18143e-05,0
1.18155e-05,0
1.18168e-05,0
1.18181e-05,0
1.18193e-05,0
1.18206e-05,0
1.18218e-05,0
1.18231e-05,0
1.18244e-05,0
1.18256e-05,0
1.18269e-05,0
1.18282e-05,0
1.18294e-05,0
1.18307e-05,0
1.1832e-05,0
1.18332e-05,0
1.18345e-05,0
1.18358e-05,0
1.1837e-05,0
1.18383e-05,0
1.18395e-05,0
1.18408e-05,0
1.18421e-05,0
1.18433e-05,0
1.18446e-05,0
1.18459e-05,0
1.18471e-05,0
1.18484e-05,0
1.18497e-05,0
1.18509e-05,0
1.18522e-05,0
1.18534e-05,0
1.18547e-05,0
1.1856e-05,0
1.18572e-05,0
1.18585e-05,0
1.18598e-05,0
1.1861e-05,0
1.18623e-05,0
1.18636e-05,0
1.18648e-05,0
1.18661e-05,0
1.18673e-05,0
1.18686e-05,0
1.18699e-05,0
1.18711e-05,0
1.18724e-05,0
1.18737e-05,0
1.18749e-05,0
1.18762e-05,0
1.18775e-05,0
1.18787e-05,0
1.188e-05,0
1.18813e-05,0
1.18825e-05,0
1.18838e-05,0
1.1885e-05,0
1.18863e-05,0
1.18876e-05,0
1.18888e-05,0
1.18901e-05,0
1.18914e-05,0
1.18926e-05,0
1.18939e-05,0
1.18952e-05,0
1.18964e-05,0
1.18977e-05,0
1.18989e-05,0
1.19002e-05,0
1.19015e-05,0
1.19027e-05,0
1.1904e-05,0
1.19053e-05,0
