X: (s),Y: (Hits)
2.57697e-05,0
2.57724e-05,0
2.57752e-05,0
2.57779e-05,0
2.57807e-05,0
2.57835e-05,0
2.57862e-05,0
2.5789e-05,0
2.57918e-05,0
2.57945e-05,0
2.57973e-05,0
2.58001e-05,0
2.58028e-05,0
2.58056e-05,0
2.58084e-05,0
2.58111e-05,0
2.58139e-05,0
2.58167e-05,0
2.58194e-05,0
2.58222e-05,0
2.5825e-05,0
2.58277e-05,0
2.58305e-05,0
2.58333e-05,0
2.5836e-05,0
2.58388e-05,0
2.58415e-05,0
2.58443e-05,0
2.58471e-05,0
2.58498e-05,0
2.58526e-05,0
2.58554e-05,0
2.58581e-05,0
2.58609e-05,0
2.58637e-05,0
2.58664e-05,0
2.58692e-05,0
2.5872e-05,0
2.58747e-05,0
2.58775e-05,0
2.58803e-05,0
2.5883e-05,0
2.58858e-05,0
2.58886e-05,0
2.58913e-05,0
2.58941e-05,0
2.58969e-05,0
2.58996e-05,0
2.59024e-05,0
2.59051e-05,0
2.59079e-05,0
2.59107e-05,0
2.59134e-05,0
2.59162e-05,0
2.5919e-05,0
2.59217e-05,0
2.59245e-05,0
2.59273e-05,0
2.593e-05,0
2.59328e-05,0
2.59356e-05,0
2.59383e-05,0
2.59411e-05,0
2.59439e-05,0
2.59466e-05,0
2.59494e-05,0
2.59522e-05,0
2.59549e-05,0
2.59577e-05,0
2.59605e-05,0
2.59632e-05,0
2.5966e-05,0
2.59688e-05,0
2.59715e-05,0
2.59743e-05,0
2.5977e-05,0
2.59798e-05,0
2.59826e-05,0
2.59853e-05,0
2.59881e-05,0
2.59909e-05,0
2.59936e-05,0
2.59964e-05,0
2.59992e-05,0
2.60019e-05,0
2.60047e-05,0
2.60075e-05,0
2.60102e-05,0
2.6013e-05,0
2.60158e-05,0
2.60185e-05,0
2.60213e-05,0
2.60241e-05,0
2.60268e-05,0
2.60296e-05,0
2.60324e-05,0
2.60351e-05,0
2.60379e-05,0
2.60406e-05,0
2.60434e-05,0
2.60462e-05,0
2.60489e-05,0
2.60517e-05,0
2.60545e-05,0
2.60572e-05,0
2.606e-05,0
2.60628e-05,0
2.60655e-05,0
2.60683e-05,0
2.60711e-05,0
2.60738e-05,0
2.60766e-05,0
2.60794e-05,0
2.60821e-05,0
2.60849e-05,0
2.60877e-05,0
2.60904e-05,0
2.60932e-05,0
2.6096e-05,0
2.60987e-05,0
2.61015e-05,0
2.61042e-05,0
2.6107e-05,0
2.61098e-05,0
2.61125e-05,0
2.61153e-05,0
2.61181e-05,0
2.61208e-05,0
2.61236e-05,0
2.61264e-05,0
2.61291e-05,0
2.61319e-05,0
2.61347e-05,0
2.61374e-05,0
2.61402e-05,0
2.6143e-05,0
2.61457e-05,0
2.61485e-05,0
2.61513e-05,0
2.6154e-05,0
2.61568e-05,0
2.61596e-05,0
2.61623e-05,0
2.61651e-05,0
2.61679e-05,0
2.61706e-05,0
2.61734e-05,0
2.61761e-05,0
2.61789e-05,0
2.61817e-05,0
2.61844e-05,0
2.61872e-05,0
2.619e-05,0
2.61927e-05,0
2.61955e-05,0
2.61983e-05,0
2.6201e-05,0
2.62038e-05,0
2.62066e-05,0
2.62093e-05,0
2.62121e-05,0
2.62149e-05,0
2.62176e-05,0
2.62204e-05,0
2.62232e-05,0
2.62259e-05,0
2.62287e-05,0
2.62315e-05,0
2.62342e-05,0
2.6237e-05,0
2.62397e-05,0
2.62425e-05,0
2.62453e-05,0
2.6248e-05,0
2.62508e-05,0
2.62536e-05,0
2.62563e-05,0
2.62591e-05,0
2.62619e-05,0
2.62646e-05,0
2.62674e-05,0
2.62702e-05,0
2.62729e-05,0
2.62757e-05,0
2.62785e-05,0
2.62812e-05,0
2.6284e-05,0
2.62868e-05,0
2.62895e-05,0
2.62923e-05,0
2.62951e-05,0
2.62978e-05,0
2.63006e-05,0
2.63033e-05,0
2.63061e-05,0
2.63089e-05,0
2.63116e-05,0
2.63144e-05,0
2.63172e-05,0
2.63199e-05,0
2.63227e-05,0
2.63255e-05,0
2.63282e-05,0
2.6331e-05,0
2.63338e-05,0
2.63365e-05,0
2.63393e-05,0
2.63421e-05,0
2.63448e-05,0
2.63476e-05,0
2.63504e-05,0
2.63531e-05,0
2.63559e-05,0
2.63587e-05,0
2.63614e-05,0
2.63642e-05,0
2.6367e-05,0
2.63697e-05,0
2.63725e-05,0
2.63752e-05,0
2.6378e-05,0
2.63808e-05,0
2.63835e-05,0
2.63863e-05,0
2.63891e-05,0
2.63918e-05,0
2.63946e-05,0
2.63974e-05,0
2.64001e-05,0
